Factor,Item Code,N,Mean,SD,Skewness,Kurtosis
F1_Habits,F1_Q1_每天使用时间很长,1200.0,3.00,1.10,0.00,-0.50
F1_Habits,F1_Q2_难以减少使用时间,1200.0,3.00,1.10,0.00,-0.50
F1_Habits,F1_Q3_随时随地查看社媒,1200.0,3.00,1.10,0.00,-0.50
F1_Habits,F1_Q4_不用感到焦虑不适,1200.0,3.00,1.10,0.00,-0.50
F1_Habits,F1_Q5_占据大量空闲时间,1200.0,3.00,1.10,0.00,-0.50
F1_Habits,F1_Q6_优先浏览再做其他事,1200.0,3.00,1.10,0.00,-0.50
F2_Interaction,F2_Q1_经常点赞收藏,1200.0,3.00,1.10,0.00,-0.50
F2_Interaction,F2_Q2_主动评论发表看法,1200.0,3.00,1.10,0.00,-0.50
F2_Interaction,F2_Q3_经常分享优质内容,1200.0,3.00,1.10,0.00,-0.50
F2_Interaction,F2_Q4_关注追踪创作者,1200.0,3.00,1.10,0.00,-0.50
F2_Interaction,F2_Q5_发布原创内容,1200.0,3.00,1.10,0.00,-0.50
F2_Interaction,F2_Q6_参与活动话题讨论,1200.0,3.00,1.10,0.00,-0.50
F3_Recommendation,F3_Q1_推荐内容符合兴趣,1200.0,3.00,1.10,0.00,-0.50
F3_Recommendation,F3_Q2_推荐多样性满意,1200.0,3.00,1.10,0.00,-0.50
F3_Recommendation,F3_Q3_精准捕捉兴趣变化,1200.0,3.00,1.10,0.00,-0.50
F3_Recommendation,F3_Q4_对推荐算法整体满意,1200.0,3.00,1.10,0.00,-0.50
F3_Recommendation,F3_Q5_极少推荐不感兴趣内容,1200.0,3.00,1.10,0.00,-0.50
F3_Recommendation,F3_Q6_发现新优质内容,1200.0,3.00,1.10,0.00,-0.50
F4_Privacy,F4_Q1_担心过度收集数据,1200.0,3.00,1.10,0.00,-0.50
F4_Privacy,F4_Q2_主动调整隐私权限,1200.0,3.00,1.10,0.00,-0.50
F4_Privacy,F4_Q3_平台数据使用不透明,1200.0,3.00,1.10,0.00,-0.50
F4_Privacy,F4_Q4_担心精准广告推送,1200.0,3.00,1.10,0.00,-0.50
F4_Privacy,F4_Q5_了解隐私法律法规,1200.0,3.00,1.10,0.00,-0.50
F4_Privacy,F4_Q6_因隐私顾虑减少使用,1200.0,3.00,1.10,0.00,-0.50
F5_Content,F5_Q1_内容质量整体满意,1200.0,3.00,1.10,0.00,-0.50
F5_Content,F5_Q2_有效过滤低质内容,1200.0,3.00,1.10,0.00,-0.50
F5_Content,F5_Q3_内容原创性创新性高,1200.0,3.00,1.10,0.00,-0.50
F5_Content,F5_Q4_内容信息真实性有保障,1200.0,3.00,1.10,0.00,-0.50
F5_Content,F5_Q5_内容深度价值感满意,1200.0,3.00,1.10,0.00,-0.50
F5_Content,F5_Q6_比其他平台内容质量更优,1200.0,3.00,1.10,0.00,-0.50
