Variable,Beta (Coeff),Std. Error,t-value,p-value,VIF,Sig.
const,-0.863**,0.13467532554133319,-6.4080122145364795,2.118e-10,74.73,**
F1_Habits_Mean,0.215**,0.02720641075039544,7.911867493520719,5.751e-15,1.84,**
F2_Interaction_Mean,0.091**,0.022734658304993424,3.9904769299910607,6.996e-05,1.27,**
F3_Recommendation_Mean,0.668**,0.028917451652136373,23.10768429676074,6.223e-98,2.22,**
F4_Privacy_Mean,0.006,0.02073412440880873,0.3113965882395787,0.756,1.06,
F5_Content_Mean,0.553**,0.023509371582389412,23.527784519013156,7.351e-101,1.43,**
Information_Cocoon,-0.136**,0.017161175473403015,-7.930920037761462,4.971e-15,1.94,**
R-squared,0.784,,,,,
Adj. R-squared,0.783,,,,,
F-statistic,722.130,,,,,
