问卷编号,A1_性别,A2_年龄段,A3_学历,A4_职业,A5_月收入,A6_所在城市级别,B1_最常用平台,B2_每日使用时长,B3_主要登录时间段,F1_Q1_每天使用时间很长,F1_Q2_难以减少使用时间,F1_Q3_随时随地查看社媒,F1_Q4_不用感到焦虑不适,F1_Q5_占据大量空闲时间,F1_Q6_优先浏览再做其他事,F2_Q1_经常点赞收藏,F2_Q2_主动评论发表看法,F2_Q3_经常分享优质内容,F2_Q4_关注追踪创作者,F2_Q5_发布原创内容,F2_Q6_参与活动话题讨论,F3_Q1_推荐内容符合兴趣,F3_Q2_推荐多样性满意,F3_Q3_精准捕捉兴趣变化,F3_Q4_对推荐算法整体满意,F3_Q5_极少推荐不感兴趣内容,F3_Q6_发现新优质内容,F4_Q1_担心过度收集数据,F4_Q2_主动调整隐私权限,F4_Q3_平台数据使用不透明,F4_Q4_担心精准广告推送,F4_Q5_了解隐私法律法规,F4_Q6_因隐私顾虑减少使用,F5_Q1_内容质量整体满意,F5_Q2_有效过滤低质内容,F5_Q3_内容原创性创新性高,F5_Q4_内容信息真实性有保障,F5_Q5_内容深度价值感满意,F5_Q6_比其他平台内容质量更优,C1_信息茧房感知,C2_平台总体满意度
Q0001,女,23-27岁,硕士,企业职员,6000-10000元,二线城市,抖音,4小时以上,下午(14-18点),5,3,3,4,3,5,2,2,3,3,4,1,3,3,3,3,3,4,4,3,2,2,2,1,3,4,2,4,3,4,总是感觉,一般
Q0002,女,38-42岁,本科,学生,3000-6000元,一线城市,抖音,2-3小时,深夜(23点以后),3,4,3,4,4,3,2,3,3,3,3,2,2,5,4,3,3,2,4,2,3,4,2,3,4,3,2,2,4,3,总是感觉,一般
Q0003,女,33-37岁,本科,企业职员,10000-20000元,一线城市,微博,1-2小时,中午(12-14点),1,2,4,3,3,3,3,1,2,3,3,1,4,4,3,3,5,3,2,3,2,2,1,3,5,3,3,4,3,4,很少感觉,满意
Q0004,女,33-37岁,硕士,其他,3000-6000元,二线城市,抖音,1-2小时,晚上(20-23点),1,3,2,4,3,3,4,4,5,4,3,5,5,4,4,5,4,3,5,4,4,3,4,5,4,3,2,3,3,3,很少感觉,满意
Q0005,男,28-32岁,高中及以下,自由职业者,6000-10000元,三线城市,小红书,3-4小时,深夜(23点以后),4,4,3,5,5,4,1,3,2,1,2,2,3,4,3,4,3,3,3,5,4,2,3,2,3,2,3,1,1,2,总是感觉,满意
Q0006,男,33-37岁,硕士,政府/事业单位,10000-20000元,二线城市,快手,3-4小时,下午(14-18点),3,4,3,5,5,4,4,5,3,5,4,4,5,4,5,4,5,5,3,2,2,1,3,1,5,4,3,3,4,4,从不感觉,非常满意
Q0007,女,23-27岁,本科,个体经营者,20000元以上,一线城市,小红书,30分钟以内,傍晚(18-20点),1,1,1,2,1,2,1,1,3,2,2,2,3,2,3,3,3,2,4,3,4,4,3,3,1,2,2,4,2,2,从不感觉,一般
Q0008,男,28-32岁,本科,企业职员,3000元以下,一线城市,抖音,30-60分钟,晚上(20-23点),2,4,3,2,1,2,3,2,3,3,3,4,2,3,4,2,4,3,3,3,3,3,5,4,4,1,3,3,3,3,从不感觉,一般
Q0009,男,28-32岁,硕士,教师/科研,3000元以下,四线及以下城市,快手,2-3小时,晚上(20-23点),4,2,5,2,3,3,4,2,3,3,2,3,3,3,3,3,4,4,3,3,2,5,5,3,3,4,3,4,2,3,经常感觉,一般
Q0010,男,33-37岁,本科,政府/事业单位,20000元以上,二线城市,小红书,2-3小时,深夜(23点以后),3,3,3,3,4,4,4,4,4,5,5,4,4,5,4,4,4,5,3,3,3,3,4,4,5,5,4,5,5,5,从不感觉,非常满意
Q0011,男,18-22岁,大专,教师/科研,无收入,二线城市,B站,3-4小时,下午(14-18点),4,3,3,5,3,3,5,4,5,5,3,5,3,3,4,3,3,3,3,3,2,1,3,4,3,5,4,4,3,4,经常感觉,满意
Q0012,女,38-42岁,本科,企业职员,6000-10000元,新一线城市,微信,3-4小时,下午(14-18点),4,3,5,4,2,5,5,4,5,4,5,5,3,2,2,1,4,2,1,3,2,2,1,4,3,4,3,3,3,3,经常感觉,一般
Q0013,女,23-27岁,本科,自由职业者,3000-6000元,二线城市,抖音,30分钟以内,深夜(23点以后),2,3,3,1,3,1,2,3,3,2,2,1,3,3,3,3,3,3,5,2,3,4,5,3,3,2,2,3,3,2,从不感觉,一般
Q0014,男,38-42岁,本科,企业职员,3000-6000元,新一线城市,抖音,30-60分钟,中午(12-14点),2,3,2,2,2,2,1,1,2,2,1,1,3,4,2,4,3,3,3,1,4,3,1,3,4,3,5,4,5,4,偶尔感觉,满意
Q0015,男,33-37岁,本科,教师/科研,6000-10000元,四线及以下城市,B站,3-4小时,上午(9-12点),3,3,5,5,4,3,3,3,3,3,3,3,3,4,3,4,2,4,1,2,2,2,3,1,5,4,3,4,4,4,经常感觉,非常满意
Q0016,男,33-37岁,本科,其他,6000-10000元,四线及以下城市,B站,3-4小时,中午(12-14点),3,4,3,3,4,4,3,5,5,3,3,4,1,3,2,1,1,2,2,3,3,3,2,3,2,1,2,2,2,3,总是感觉,非常不满意
Q0017,女,28-32岁,硕士,企业职员,10000-20000元,三线城市,小红书,30-60分钟,早晨(6-9点),2,3,2,3,2,1,4,4,4,4,3,4,3,3,4,3,3,3,2,3,2,3,3,2,3,3,1,4,1,3,很少感觉,一般
Q0018,女,18-22岁,本科,其他,6000-10000元,一线城市,小红书,1-2小时,傍晚(18-20点),3,2,3,2,3,3,4,4,4,2,4,3,2,1,3,2,1,1,2,2,3,2,4,3,3,1,3,3,3,2,总是感觉,不满意
Q0019,男,33-37岁,本科,企业职员,6000-10000元,一线城市,B站,3-4小时,中午(12-14点),3,4,4,4,5,4,3,3,4,3,4,3,3,2,2,4,1,3,4,3,2,4,4,5,3,3,1,4,2,2,经常感觉,一般
